id,category,subcategory,food_name,local_name,aliases,serving_size,serving_unit,weight_g,calories_kcal,protein_g,carbohydrates_g,fat_g,dietary_fiber_g,total_sugars_g,saturated_fat_g,sodium_mg,cholesterol_mg,food_type,source,ingredients
637,Fast Food,Burgers & Sandwiches,Premium Fish Sandwich Burger King,,"premium fish sandwich burger king, machli, premium fish sandwich burger kings, premium-fish-sandwich-burger-king",100,g,100,572,22.6,58.7,27.4,2,7.8,4.3,1300,68,Meals / Prepared Food,curated,"Fish, Refined Flour (Maida), Cheese, Cooking Oil"
638,Fast Food,Burgers & Sandwiches,Premium Grilled Chicken Classic Sandwich Mcdonalds,,"premium grilled chicken classic sandwich mcdonalds, murgi, premium grilled chicken classic sandwich mcdonald, premium grilled chicken classic sandwich mcdonaldses, premium-grilled-chicken-classic-sandwich-mcdonalds",100,g,100,366,28.3,44.6,8.6,2.8,10,1.7,800,68,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
639,Fast Food,Burgers & Sandwiches,Premium Grilled Chicken Club Sandwich Mcdonalds,,"premium grilled chicken club sandwich mcdonalds, murgi, premium grilled chicken club sandwich mcdonald, premium grilled chicken club sandwich mcdonaldses, premium-grilled-chicken-club-sandwich-mcdonalds",100,g,100,493,38.3,44.3,18,2.7,6.4,6.4,1000,103,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
640,Fast Food,Burgers & Sandwiches,Premium Grilled Chicken Ranch Blt Sandwich Mcdonalds,,"premium grilled chicken ranch blt sandwich mcdonalds, murgi, premium grilled chicken ranch blt sandwich mcdonald, premium grilled chicken ranch blt sandwich mcdonaldses, premium-grilled-chicken-ranch-blt-sandwich-mcdonalds",100,g,100,412,33.7,44.3,10.9,2.8,10.5,3,1000,77,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
641,Fast Food,Burgers & Sandwiches,Quarter Pounder Mcdonalds,,"quarter pounder mcdonalds, quarter pounder mcdonald, quarter pounder mcdonaldses, quarter-pounder-mcdonalds",100,g,100,417,24.1,37.9,19.8,2.7,8.8,6.9,700,67,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
642,Fast Food,Burgers & Sandwiches,Quarter Pounder with Cheese Mcdonalds,,"quarter pounder with cheese mcdonalds, quarter pounder with cheese mcdonald, quarter pounder with cheese mcdonaldses, quarter-pounder-with-cheese-mcdonalds",100,g,100,513,29,39.7,28.3,2.8,9.8,11.2,1200,94,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Cooking Oil"
643,Fast Food,Burgers & Sandwiches,Roast Beef Sandwich,,"roast beef sandwich, roast beef sandwiches, roast-beef-sandwich",100,g,100,364,22.6,33.1,15.3,1.9,5.7,5.1,1000,45,Meals / Prepared Food,curated,"Beef, Refined Flour (Maida), Cheese, Cooking Oil"
644,Fast Food,Burgers & Sandwiches,Roast Beef Sandwich with Cheese,,"roast beef sandwich with cheese, roast beef sandwich with cheeses, roast-beef-sandwich-with-cheese",100,g,100,473,32.2,45.4,18,0,0,9,1600,77,Meals / Prepared Food,curated,"Beef, Cheese, Refined Flour (Maida), Cooking Oil"
645,Fast Food,Burgers & Sandwiches,Sandwich with Cold Cuts,,"sandwich with cold cuts, sandwich with cold cut, sandwich with cold cutses, sandwich-with-cold-cuts",100,g,100,833,41.1,79.9,39.3,4.7,12.4,13.9,2200,106,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
646,Fast Food,Burgers & Sandwiches,Sandwich with Roast Beef,,"sandwich with roast beef, sandwich with roast beefs, sandwich-with-roast-beef",100,g,100,410,28.6,44.3,13,0,0,7.1,800,73,Meals / Prepared Food,curated,"Beef, Refined Flour (Maida), Cheese, Cooking Oil"
647,Fast Food,Burgers & Sandwiches,Sandwich with Tuna Salad,,"sandwich with tuna salad, sandwich with tuna salads, sandwich-with-tuna-salad",100,g,100,584,29.7,55.4,28,0,0,5.3,1300,49,Meals / Prepared Food,curated,"Fish, Tuna Salad, Tuna, Refined Flour (Maida), Cheese, Cooking Oil"
648,Fast Food,Burgers & Sandwiches,Steak Sandwich,,"steak sandwich, steak sandwiches, steak-sandwich",100,g,100,459,30.3,52,14.1,0,0,3.8,800,73,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
649,Fast Food,Burgers & Sandwiches,Veggie Burger,,"veggie burger, veggie burgers, veggie-burger",100,g,100,124,11,10,4.4,3.4,0.7,1,400,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
650,Fast Food,Burgers & Sandwiches,Whopper Burger King,,"whopper burger king, whopper burger kings, whopper-burger-king",100,g,100,790,35.4,52.8,48.4,3.2,13,18.3,1400,114,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
651,Fast Food,Chicken,Chicken Crispy Breast Kentucky Fried Chicken,,"chicken crispy breast kentucky fried chicken, chicken crispy breast kentucky fried chickens, chicken-crispy-breast-kentucky-fried-chicken, murgi",100,g,100,375,29.7,11.9,23.2,0,0,5,800,106,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
652,Fast Food,Chicken,Chicken Crispy Drumsticks Kentucky Fried Chicken,,"chicken crispy drumsticks kentucky fried chicken, chicken crispy drumsticks kentucky fried chickens, chicken-crispy-drumsticks-kentucky-fried-chicken, murgi, saijan",100,g,100,156,11.8,4.5,10.1,0,0,2.2,400,62,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
653,Fast Food,Chicken,Chicken Crispy Wings Kentucky Fried Chicken,,"chicken crispy wings kentucky fried chicken, chicken crispy wings kentucky fried chickens, chicken-crispy-wings-kentucky-fried-chicken, murgi",100,g,100,148,9.2,5.1,10.1,0,0,2.1,300,47,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
654,Fast Food,Chicken,Chicken Nuggets,,"chicken nuggets, chicken nugget, chicken nuggetses, chicken-nuggets, murgi",100,g,100,61,3.2,3,4.1,0.2,0,0.7,100,9,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
655,Fast Food,Chicken,Crispy Chicken Breast Kentucky Fried Chicken,,"crispy chicken breast kentucky fried chicken, crispy chicken breast kentucky fried chickens, crispy-chicken-breast-kentucky-fried-chicken, murgi",100,g,100,214,38.2,0.4,6.7,0,0,1.7,700,122,Meals / Prepared Food,curated,"Chicken, Chicken Breast, Refined Flour (Maida), Cheese, Cooking Oil"
656,Fast Food,Chicken,Crispy Chicken Drumstick Kentucky Fried Chicken,,"crispy chicken drumstick kentucky fried chicken, crispy chicken drumstick kentucky fried chickens, crispy-chicken-drumstick-kentucky-fried-chicken, murgi, saijan",100,g,100,70,10.6,0,3,0,0,0.8,200,56,Meals / Prepared Food,curated,"Chicken, Drumstick, Chicken Drumstick, Refined Flour (Maida), Cheese, Cooking Oil"
657,Fast Food,Chicken,Crispy Chicken Strips Kentucky Fried Chicken,,"crispy chicken strips kentucky fried chicken, crispy chicken strips kentucky fried chickens, crispy-chicken-strips-kentucky-fried-chicken, murgi",100,g,100,129,9.5,6.4,7.2,0.7,0,1.4,400,24,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
658,Fast Food,Chicken,Crispy Chicken Strips Tyson,,"crispy chicken strips tyson, crispy chicken strips tysons, crispy-chicken-strips-tyson, murgi",100,g,100,145,0,0,6,0,0,7.7,0,0,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
659,Fast Food,Chicken,Crispy Chicken Thigh Kentucky Fried Chicken,,"crispy chicken thigh kentucky fried chicken, crispy chicken thigh kentucky fried chickens, crispy-chicken-thigh-kentucky-fried-chicken, murgi",100,g,100,163,20.4,0,9.1,0,0,2.5,500,107,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
660,Fast Food,Chicken,Crispy Chicken Wing Kentucky Fried Chicken,,"crispy chicken wing kentucky fried chicken, crispy chicken wing kentucky fried chickens, crispy-chicken-wing-kentucky-fried-chicken, murgi",100,g,100,104,12.6,1.3,5.3,0,0,1.1,300,64,Meals / Prepared Food,curated,"Chicken, Chicken Wing, Refined Flour (Maida), Cheese, Cooking Oil"
661,Fast Food,Chicken,Potato Wedges Kentucky Fried Chicken,,"potato wedges kentucky fried chicken, aloo, murgi, potato wedges kentucky fried chickens, potato-wedges-kentucky-fried-chicken",100,g,100,379,5.4,45,19.8,4.2,0,4,1000,0,Meals / Prepared Food,curated,"Chicken, Potato, Refined Flour (Maida), Cheese, Cooking Oil"
662,Fast Food,Mexican-Style Fast Food,Arroz Con Abichuelas,,"arroz con abichuelas, arroz con abichuela, arroz con abichuelases, arroz-con-abichuelas",100,g,100,223,6.2,37.3,5.4,4.1,0.2,0.8,600,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
663,Fast Food,Mexican-Style Fast Food,Arroz Con Frijoles,,"arroz con frijoles, arroz con frijol, arroz con frijoleses, arroz-con-frijoles",100,g,100,220,6.8,35.6,5.6,5,1.3,1.1,600,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
664,Fast Food,Mexican-Style Fast Food,Arroz Con Grandules,,"arroz con grandules, arroz con grandul, arroz con granduleses, arroz-con-grandules",100,g,100,209,4,35.4,5.7,1.6,0,0.9,700,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
665,Fast Food,Mexican-Style Fast Food,Arroz Con Leche,,"arroz con leche, arroz con leches, arroz-con-leche",100,g,100,369,8.1,63,9.3,1.3,38.6,4.8,300,20,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
666,Fast Food,Mexican-Style Fast Food,Baked Taco Shell,,"baked taco shell, baked taco shells, baked-taco-shell",100,g,100,61,0.8,8.3,2.7,0.9,0.2,0.8,4,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
667,Fast Food,Mexican-Style Fast Food,Burrito with Beans,,"burrito with beans, burrito with bean, burrito with beanses, burrito-with-beans",100,g,100,224,7,35.7,6.7,0,0,3.4,500,2,Meals / Prepared Food,curated,"Green Beans, Beans, Refined Flour (Maida), Cheese, Cooking Oil"
668,Fast Food,Mexican-Style Fast Food,Burrito with Beans Beef,,"burrito with beans beef, burrito with beans beefs, burrito-with-beans-beef",100,g,100,460,27.8,47,18,7.2,5.3,7,1400,63,Meals / Prepared Food,curated,"Beef, Green Beans, Beans, Refined Flour (Maida), Cheese, Cooking Oil"
669,Fast Food,Mexican-Style Fast Food,Burrito with Beans Cheese,,"burrito with beans cheese, burrito with beans cheeses, burrito-with-beans-cheese",100,g,100,379,13.6,57.8,11.2,7.8,3.2,4.3,1000,9,Meals / Prepared Food,curated,"Green Beans, Cheese, Beans, Refined Flour (Maida), Cooking Oil"
670,Fast Food,Mexican-Style Fast Food,Burrito with Beans Cheese Beef,,"burrito with beans cheese beef, burrito with beans cheese beefs, burrito-with-beans-cheese-beef",100,g,100,165,7.3,19.8,6.6,0,0,3.6,500,62,Meals / Prepared Food,curated,"Beef, Green Beans, Cheese, Beans, Refined Flour (Maida), Cooking Oil"
671,Fast Food,Mexican-Style Fast Food,Burrito with Beef,,"burrito with beef, burrito with beefs, burrito-with-beef",100,g,100,285,9.1,43.9,8.1,4.4,4.1,1.7,500,3,Meals / Prepared Food,curated,"Beef, Refined Flour (Maida), Cheese, Cooking Oil"
672,Fast Food,Mexican-Style Fast Food,Chili Con Carne,,"chili con carne, chili con carnes, chili-con-carne",100,g,100,271,14.7,33.1,8.8,8.3,4.7,3.2,1100,23,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
673,Fast Food,Mexican-Style Fast Food,Corn Tamale,,"corn tamale, bhutta, corn tamales, corn-tamale, makka",100,g,100,309,5.8,44.3,12,5.3,12.3,4.4,500,0,Meals / Prepared Food,curated,"Corn, Refined Flour (Maida), Cheese, Cooking Oil"
674,Fast Food,Mexican-Style Fast Food,Corn Tostada Shell,,"corn tostada shell, bhutta, corn tostada shells, corn-tostada-shell, makka",100,g,100,58,0.8,7.9,2.9,0.7,0,0.9,84,0,Meals / Prepared Food,curated,"Corn, Refined Flour (Maida), Cheese, Cooking Oil"
675,Fast Food,Mexican-Style Fast Food,Enchilada with Cheese,,"enchilada with cheese, enchilada with cheeses, enchilada-with-cheese",100,g,100,374,15.4,21.2,25.3,2.6,3.6,11.5,700,58,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Cooking Oil"
676,Fast Food,Mexican-Style Fast Food,Enchilada with Cheese Beef,,"enchilada with cheese beef, enchilada with cheese beefs, enchilada-with-cheese-beef",100,g,100,323,11.9,30.5,17.6,0,0,9,1300,40,Meals / Prepared Food,curated,"Beef, Cheese, Refined Flour (Maida), Cooking Oil"
677,Fast Food,Mexican-Style Fast Food,Fruit Burrito,,"fruit burrito, fruit burritos, fruit-burrito",100,g,100,231,2.5,35,9.5,0,0,4.6,200,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
678,Fast Food,Mexican-Style Fast Food,Original Taco with Beef Cheese Lettuce Taco Bell,,"original taco with beef cheese lettuce taco bell, original taco with beef cheese lettuce taco bells, original-taco-with-beef-cheese-lettuce-taco-bell",100,g,100,158,6.1,13.7,8.8,2.7,0.6,3,300,19,Meals / Prepared Food,curated,"Beef, Cheese, Refined Flour (Maida), Cooking Oil"
679,Fast Food,Mexican-Style Fast Food,Pork Tamale,,"pork tamale, pork tamales, pork-tamale",100,g,100,247,10.4,22.4,12.8,3.4,0.7,3.8,700,28,Meals / Prepared Food,curated,"Pork, Refined Flour (Maida), Cheese, Cooking Oil"
680,Fast Food,Mexican-Style Fast Food,Pupusas Con Frijoles,,"pupusas con frijoles, pupusas con frijol, pupusas con frijoleses, pupusas-con-frijoles",100,g,100,289,7,39.7,11.4,7.3,1.6,2.8,400,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
681,Fast Food,Mexican-Style Fast Food,Pupusas Con Queso,,"pupusas con queso, pupusas con quesos, pupusas-con-queso",100,g,100,300,13.7,26.2,15.5,3.4,1.4,7.6,500,37,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
682,Fast Food,Mexican-Style Fast Food,Pupusas Del Cerdo,,"pupusas del cerdo, pupusas del cerdos, pupusas-del-cerdo",100,g,100,283,14,28.1,12.7,3.2,1.8,3.9,500,35,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
683,Fast Food,Mexican-Style Fast Food,Quesadilla with Chicken,,"quesadilla with chicken, murgi, quesadilla with chickens, quesadilla-with-chicken",100,g,100,529,27.1,43.3,27.5,3.1,3.4,11.1,1300,67,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
684,Fast Food,Mexican-Style Fast Food,Sausage Burrito Mcdonalds,,"sausage burrito mcdonalds, sausage burrito mcdonald, sausage burrito mcdonaldses, sausage-burrito-mcdonalds",100,g,100,339,13,24.2,17.1,1.2,1.4,6.1,800,173,Meals / Prepared Food,curated,"Pork, Refined Flour (Maida), Cheese, Cooking Oil"
685,Fast Food,Mexican-Style Fast Food,Taco Salad,,"taco salad, taco salads, taco-salad",100,g,100,212,10,17.9,11.2,0,0,5.2,600,33,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
686,Fast Food,Mexican-Style Fast Food,Taco Salad Taco Bell,,"taco salad taco bell, taco salad taco bells, taco-salad-taco-bell",100,g,100,906,35.7,80.5,48.9,16,0,15.9,1900,101,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
687,Fast Food,Mexican-Style Fast Food,Taco Salad with Chili Con Carne,,"taco salad with chili con carne, taco salad with chili con carnes, taco-salad-with-chili-con-carne",100,g,100,193,11.6,17.7,8.8,0,0,4,600,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
688,Fast Food,Mexican-Style Fast Food,Taco with Beef Cheese Lettuce,,"taco with beef cheese lettuce, taco with beef cheese lettuces, taco-with-beef-cheese-lettuce",100,g,100,156,6.1,13.7,8.8,2.7,0.6,3,300,19,Meals / Prepared Food,curated,"Beef, Cheese, Refined Flour (Maida), Cooking Oil"
689,Fast Food,Mexican-Style Fast Food,Taco with Chicken Cheese Lettuce,,"taco with chicken cheese lettuce, murgi, taco with chicken cheese lettuces, taco-with-chicken-cheese-lettuce",100,g,100,185,13,19.3,6.2,1.2,1.3,2.5,600,28,Meals / Prepared Food,curated,"Chicken, Cheese, Refined Flour (Maida), Cooking Oil"
690,Fast Food,Mexican-Style Fast Food,Tamale Navajo,,"tamale navajo, tamale navajos, tamale-navajo",100,g,100,285,11.7,33.7,11.4,5.8,1.8,4.5,800,32,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
691,Fast Food,Mexican-Style Fast Food,Tostada with Beans Cheese,,"tostada with beans cheese, tostada with beans cheeses, tostada-with-beans-cheese",100,g,100,223,9.6,26.5,9.9,0,0,5.4,500,30,Meals / Prepared Food,curated,"Green Beans, Cheese, Beans, Refined Flour (Maida), Cooking Oil"
692,Fast Food,Mexican-Style Fast Food,Tostada with Beef Cheese,,"tostada with beef cheese, tostada with beef cheeses, tostada-with-beef-cheese",100,g,100,315,19,22.8,16.3,0,0,10.4,900,41,Meals / Prepared Food,curated,"Beef, Cheese, Refined Flour (Maida), Cooking Oil"
693,Fast Food,Mexican-Style Fast Food,Tostada with Guacamole,,"tostada with guacamole, tostada with guacamoles, tostada-with-guacamole",100,g,100,180,6.2,16,11.6,0,0,4.9,400,20,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
694,Fast Food,Mexican-Style Fast Food,Turkey Taco Meat Cooked,,"turkey taco meat cooked, turkey-taco-meat-cooked",100,g,100,271,30.7,5.5,13.9,0,0,3.2,1200,130,Meals / Prepared Food,curated,"Turkey, Refined Flour (Maida), Cheese, Cooking Oil"
695,Fast Food,Pizza,Cheese Pizza,,"cheese pizza, cheese pizzas, cheese-pizza",100,g,115.6,267.2,9,33.2,11.4,2.2,3.6,3.6,499,14,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Cooking Oil"
696,Fast Food,Pizza,Cheese Pizza Dominos,,"cheese pizza dominos, cheese pizza domino, cheese pizza dominoses, cheese-pizza-dominos",100,g,100,278,11.7,35.9,9.7,2.4,4.3,4.4,600,18,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Cooking Oil"
697,Fast Food,Pizza,Cheese Pizza Pizza Hut,,"cheese pizza pizza hut, cheese pizza pizza huts, cheese-pizza-pizza-hut",100,g,100,260,11.5,30,10.5,1.7,3.2,4.8,700,23,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Cooking Oil"
698,Fast Food,Pizza,Meat Vegetable Pizza,,"meat vegetable pizza, meat vegetable pizzas, meat-vegetable-pizza",100,g,100,332,15,34.5,14.8,3,5.1,6,800,37,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
699,Fast Food,Pizza,Pepperoni Pizza,,"pepperoni pizza, pepperoni pizzas, pepperoni-pizza",100,g,100,313,13,35.5,13.2,2.6,3.6,5.7,800,28,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
700,Fast Food,Pizza,Pepperoni Pizza Dominos,,"pepperoni pizza dominos, pepperoni pizza domino, pepperoni pizza dominoses, pepperoni-pizza-dominos",100,g,100,308,12.7,36,12.6,2.4,4.2,5.4,700,28,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
701,Fast Food,Pizza,Pepperoni Pizza Pizza Hut,,"pepperoni pizza pizza hut, pepperoni pizza pizza huts, pepperoni-pizza-pizza-hut",100,g,100,269,12.3,30.3,10.9,1.6,3.5,5,800,25,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
702,Fast Food,Pizza,Pizza Sauce,,"pizza sauce, pizza sauces, pizza-sauce",100,g,100,136,5.5,21.8,2.9,5,9.5,1.2,900,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
703,Fast Food,Pizza,Sausage Pizza,,"sausage pizza, sausage pizzas, sausage-pizza",100,g,100,325,13.3,35.5,14.3,2.7,3.9,5.8,700,27,Meals / Prepared Food,curated,"Pork, Refined Flour (Maida), Cheese, Cooking Oil"
704,Fast Food,Sides & Salads (Fast Food),Apple Dippers Mcdonalds,,"apple dippers mcdonalds, apple dippers mcdonald, apple dippers mcdonaldses, apple-dippers-mcdonalds, seb",100,g,100,33,0,8.2,0,0,6.3,0,0,0,Meals / Prepared Food,curated,"Apple, Refined Flour (Maida), Cheese, Cooking Oil"
705,Fast Food,Sides & Salads (Fast Food),Caesar Salad Mcdonalds,,"caesar salad mcdonalds, caesar salad mcdonald, caesar salad mcdonaldses, caesar-salad-mcdonalds",100,g,100,94,6.8,9.1,4.4,3.4,4.4,2.5,200,11,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
706,Fast Food,Sides & Salads (Fast Food),Caesar Salad with Crispy Chicken Mcdonalds,,"caesar salad with crispy chicken mcdonalds, caesar salad with crispy chicken mcdonald, caesar salad with crispy chicken mcdonaldses, caesar-salad-with-crispy-chicken-mcdonalds, murgi",100,g,100,349,25.7,19.2,16.4,3.4,4.5,4.3,700,56,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
707,Fast Food,Sides & Salads (Fast Food),Caesar Salad with Grilled Chicken Mcdonalds,,"caesar salad with grilled chicken mcdonalds, caesar salad with grilled chicken mcdonald, caesar salad with grilled chicken mcdonaldses, caesar-salad-with-grilled-chicken-mcdonalds, murgi",100,g,100,201,29.1,11.3,5.6,3.3,4.8,3,600,71,Meals / Prepared Food,curated,"Chicken, Refined Flour (Maida), Cheese, Cooking Oil"
708,Fast Food,Sides & Salads (Fast Food),Coleslaw,,"coleslaw, coleslaws",100,g,126.2,184.4,1.5,17,12.1,3,13.5,2.1,215,7,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
709,Fast Food,Sides & Salads (Fast Food),Coleslaw Dressing,,"coleslaw dressing, coleslaw dressings, coleslaw-dressing",100,g,100,62,0.1,3.8,5.3,0,3.2,0.8,100,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
710,Fast Food,Sides & Salads (Fast Food),Coleslaw Dressing Reduced Fat,,"coleslaw dressing reduced fat, coleslaw dressing reduced fats, coleslaw-dressing-reduced-fat",100,g,100,56,0,6.8,3.4,0,6.6,0.5,300,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
711,Fast Food,Sides & Salads (Fast Food),Cottage Fries,,"cottage fries, cottage frieses, cottage fry, cottage-fries",100,g,100,11,0.2,1.9,0.4,0.2,0,0.1,58,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
712,Fast Food,Sides & Salads (Fast Food),French Fries,,"french fries, french frieses, french fry, french-fries",100,g,100,13,0.2,2.2,0.4,0.2,0.1,0,56,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
713,Fast Food,Sides & Salads (Fast Food),French Fries Deep Fried,,"french fries deep fried, french-fries-deep-fried",100,g,100,222,2.4,29.4,10.5,2.7,0.2,1.7,100,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
714,Fast Food,Sides & Salads (Fast Food),French Fries Mcdonalds,,"french fries mcdonalds, french fries mcdonald, french fries mcdonaldses, french-fries-mcdonalds",100,g,100,378,4,49.8,18.1,4.6,0.2,2.7,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
715,Fast Food,Sides & Salads (Fast Food),Hash Brown Potato,,"hash brown potato, aloo, hash brown potatos, hash-brown-potato",100,g,100,144,1.4,15.3,9,1.4,0.3,1.3,300,0,Meals / Prepared Food,curated,"Potato, Refined Flour (Maida), Cheese, Cooking Oil"
716,Fast Food,Sides & Salads (Fast Food),Shoestring French Fries,,"shoestring french fries, shoestring french frieses, shoestring french fry, shoestring-french-fries",100,g,100,4,0.1,0.7,0.1,0.1,0.1,0.1,55,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
717,Fast Food,Sides & Salads (Fast Food),Side Salad Mcdonalds,,"side salad mcdonalds, side salad mcdonald, side salad mcdonaldses, side-salad-mcdonalds",100,g,100,17,0.9,3.7,0.2,1.4,1.9,0,37,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Cheese, Cooking Oil"
718,Fruits,Fruits,Abiyuch,,"abiyuch, abiyuches",100,g,100,157,3.4,40.1,0.2,12.1,19.5,0.1,93,0,Raw,curated,Abiyuch
719,Fruits,Fruits,Acerola Cherry,,"acerola cherry, acerola cherries, acerola-cherry",100,g,100,2,0.1,0.4,0.1,0.1,0,0.1,88,0,Raw,curated,Acerola Cherry
720,Fruits,Fruits,American Grapes,,"american grapes, american grap, american grapeses, american-grapes, angoor",100,g,100,2,0,0.4,0.1,0.1,0.4,0,56,0,Raw,curated,American Grapes
721,Fruits,Fruits,Apple,,"apple, apples, seb",100,g,100,95,0.5,25.1,0.3,4.4,18.9,0,62,0,Raw,curated,Apple
722,Fruits,Fruits,Apple Crisp,,"apple crisp, apple crisps, apple-crisp, seb",100,g,100,454,4.9,87,9.7,3.9,55.5,1.9,1000,0,Meals / Prepared Food,curated,Apple Crisp
723,Fruits,Fruits,Apple Dried,,"apple dried, apple-dried, seb",100,g,100,145,0.6,39.1,0.2,5.1,34,0.1,24,0,Raw,curated,Apple
724,Fruits,Fruits,Apple Strudel,,"apple strudel, apple strudels, apple-strudel, seb",100,g,100,195,2.3,29.2,8,1.6,18.3,1.5,20,4,Meals / Prepared Food,curated,Apple Strudel
725,Fruits,Fruits,Applesauce,,"applesauce, applesauces",100,g,100,102,0.4,27.5,0.2,2.7,22.9,0,31,0,Meals / Prepared Food,curated,Applesauce
726,Fruits,Fruits,Apricot,,"apricot, apricots, khubani",100,g,100,17,0.5,3.9,0.1,0.7,3.2,0,20,0,Raw,curated,Apricot
727,Fruits,Fruits,Apricot Dried,,"apricot dried, apricot-dried, khubani",100,g,100,17,0.2,4.4,0,0.5,3.7,0,66,0,Raw,curated,Apricot
728,Fruits,Fruits,Asian Pear,,"asian pear, asian pears, asian-pear, nashpati",100,g,100,51,0.6,13,0.3,4.4,8.6,0,0,0,Raw,curated,Asian Pear
729,Fruits,Fruits,Avocado,,"avocado, avocados",100,g,100,432,5.4,23,39.6,18.1,1.8,5.7,45,0,Raw,curated,Avocado
730,Fruits,Fruits,Banana,,"banana, bananas, kela",100,g,100,134,1.6,34.3,0.5,3.9,18.3,0.2,55,0,Raw,curated,Banana
731,Fruits,Fruits,Bartlett Pear,,"bartlett pear, bartlett pears, bartlett-pear, nashpati",100,g,100,112,0.7,26.6,0.3,5.5,17.2,0,47,0,Raw,curated,Bartlett Pear
732,Fruits,Fruits,Black Currants,,"black currants, black currant, black currantses, black-currants",100,g,100,71,1.6,17.2,0.5,0,0,0,75,0,Raw,curated,Black Currants
733,Fruits,Fruits,Blackberries Frozen,,"blackberries frozen, blackberries-frozen",100,g,100,97,1.8,23.7,0.6,7.6,16.1,0,7,0,Raw,curated,Blackberries
